Name,Country,Exchange,Description,Last Price,52 week range,Url
123fahrschule SE,Germany, Xetra ," 123fahrschule SE operates as an information technology supported driving school chain. It focuses on e-learning and digitalized driver's license training. The company was founded in 2016 and is headquartered in Cologne, Germany. ",11.40,10.80 - 14.00,https://www.wsj.com/market-data/quotes/XE/XETR/123F/company-people
1111 Exploration Corp.,Canadian Securities Exchange,,,0.05,0.05 - 0.15,https://www.wsj.com/market-data/quotes/CA/XCNQ/ELVN/company-people
11 88 0 Solutions AG,Germany, Xetra ,,1.59,1.46 - 1.82,https://www.wsj.com/market-data/quotes/XE/XETR/TGT/company-people
10x Genomics Inc.,US, Nasdaq,,67.03,65.15 - 208.99,https://www.wsj.com/market-data/quotes/TXG/company-people
12 Retech Corp.,US, OTC,,0.0002,0.0001 - 0.016,https://www.wsj.com/market-data/quotes/RETC/company-people
11 Bit Studios S.A.,Poland, Warsaw,,495.60,395.20 - 589.00,https://www.wsj.com/market-data/quotes/PL/XWAR/11B/company-people
10X Capital Venture Acquisition Corp. III,US, NYSE," 10x Capital Venture Acquisition Corp. III is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",10.08,9.96 - 10.10,https://www.wsj.com/market-data/quotes/VCXB.UT/company-people
111 Inc. ADR,US, Nasdaq,,2.43,2.23 - 19.74,https://www.wsj.com/market-data/quotes/YI/company-people
11 Bit Studios S.A.,Germany, Frankfurt ,,103.20,86.35 - 126.40,https://www.wsj.com/market-data/quotes/DE/XFRA/11C/company-people
01 Communique Laboratory Inc.,Canada, TSX Venture,,0.24,0.20 - 0.41,https://www.wsj.com/market-data/quotes/CA/XTSX/ONE/company-people
10X Capital Venture Acquisition Corp. III Wt,US, NYSE," 10x Capital Venture Acquisition Corp. III is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",0.20,0.17 - 0.35,https://www.wsj.com/market-data/quotes/VCXB.WT/company-people
104 Corp.,Taiwan,,,193.00,158.50 - 201.00,https://www.wsj.com/market-data/quotes/TW/XTAI/3130/company-people
10X Capital Venture Acquisition Corp. II Un,US, Nasdaq," 10x Capital Venture Acquisition Corp. II is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",10.12,9.86 - 13.09,https://www.wsj.com/market-data/quotes/VCXAU/company-people
10X Capital Venture Acquisition Corp. II Wt,US, Nasdaq," 10x Capital Venture Acquisition Corp. II is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",1.04,0.70 - 4.40,https://www.wsj.com/market-data/quotes/VCXAW/company-people
5th Planet Games A/S,Norway, Oslo," 5th Planet Games A/S engages in the development of mobile games. It offers games for children and adults. The company was founded by Henrik Jørgen Skouboe Kølle on April 13, 2011 and is headquartered in Copenhagen, Denmark. ",1.00,0.74 - 1.55,https://www.wsj.com/market-data/quotes/NO/XOSL/5PG/company-people
10X Capital Venture Acquisition Corp. III Cl A,US, NYSE," 10x Capital Venture Acquisition Corp. III is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",9.91,9.87 - 9.96,https://www.wsj.com/market-data/quotes/VCXB/company-people
5N Plus Inc.,US, OTC," 5N Plus, Inc. engages in producing of chemicals and engineered materials. It operates through the following segments: Electronic Materials and Eco-Friendly Materials. The Electronic Materials segment manufactures and sells products which are used in applications such as security, aerospace, sensing, imaging, renewable energy and various technical industries. The Eco-Friendly Materials segment manufactures and sells products which are used in applications such as pharmaceutical, healthcare, animal feed additive, catalytic and extractive, as well as various industrial materials. The company was founded by Jacques L'Écuyer and Marc Suys on June 1, 2000 and is headquartered in Montreal, Canada. ",1.638,1.638 - 3.85,https://www.wsj.com/market-data/quotes/FPLSF/company-people
5Paisa Capital Ltd.,India, Bombay," 5paisa Capital Ltd. engages in stock broking and fund based activities. It also offers a range of financial services such as securities trading, fintech solutions, and online Robo-advisory service. The company was founded on July 10, 2007 and is headquartered in Thane, India. ",307.35,243.75 - 577.40,https://www.wsj.com/market-data/quotes/IN/XBOM/540776/company-people
10X Capital Venture Acquisition Corp. II Cl A,US, Nasdaq," 10x Capital Venture Acquisition Corp. II is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",9.8201,9.57 - 10.88,https://www.wsj.com/market-data/quotes/VCXA/company-people
5:01 Acquisition Corp.,US, Nasdaq," 5:01 Acquisition Corp. is a blank check emerging growth company that was formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company was founded on August 31, 2020 and is headquartered in San Francisco, CA. ",9.83,9.285 - 10.30,https://www.wsj.com/market-data/quotes/FVAM/company-people
5I5J Holding Group Co. Ltd. A,China, Shenzhen,,2.97,2.81 - 5.24,https://www.wsj.com/market-data/quotes/CN/XSHE/000560/company-people
577 Investment Corp.,Ho Chi Minh Stock Exchange,,,"31,850","17,656 - 59,700",https://www.wsj.com/market-data/quotes/VN/XSTC/NBB/company-people
5N Plus Inc.,Canada, Toronto," 5N Plus, Inc. engages in producing of chemicals and engineered materials. It operates through the following segments: Electronic Materials and Eco-Friendly Materials. The Electronic Materials segment manufactures and sells products which are used in applications such as security, aerospace, sensing, imaging, renewable energy and various technical industries. The Eco-Friendly Materials segment manufactures and sells products which are used in applications such as pharmaceutical, healthcare, animal feed additive, catalytic and extractive, as well as various industrial materials. The company was founded by Jacques L'Écuyer and Marc Suys on June 1, 2000 and is headquartered in Montreal, Canada. ",2.11,2.04 - 4.79,https://www.wsj.com/market-data/quotes/CA/XTSE/VNP/company-people
51 Credit Card Inc.,Hong Kong,,,0.43,0.405 - 1.72,https://www.wsj.com/market-data/quotes/HK/XHKG/2051/company-people
55 North Mining Inc.,Canadian Securities Exchange,," 55 North Mining, Inc. engages in the exploration and development of mineral properties in the Timmins region. The firm holds an interest in Timmins South properties, Timmins North properties, and other properties. The company was founded by R. Dale Ginn and Hugh Wynne on December 5, 2008 and is headquartered in Toronto, Canada. ",0.05,0.04 - 0.18,https://www.wsj.com/market-data/quotes/CA/XCNQ/FFF/company-people
51job Inc. ADR,US, Nasdaq," 51job, Inc. is a holding company that engages in provision of human resource services. It offers services in the areas of recruitment solutions, training & assessment, and human resources outsourcing, business process outsourcing, professional assessment, executive search and compensation analysis. The company was founded by Kathleen Chien, Rick Yan, Lei Feng, and Norman Lui in 1998 and is headquartered in Shanghai, China. ",55.955,43.19 - 79.00,https://www.wsj.com/market-data/quotes/JOBS/company-people
92 Energy Ltd.,Australia, Sydney,,0.595,0.215 - 1.15,https://www.wsj.com/market-data/quotes/AU/XASX/92E/company-people
91APP Inc.,Taipei Exchange,,,165.50,145.00 - 427.00,https://www.wsj.com/market-data/quotes/TW/ROCO/6741/company-people
4Sight Holdings Ltd.,South Africa,," 4Sight Holdings Ltd. is an investment holding company, which engages in the provision of Fourth Industrial Revolution (4IR) technologies, people, and data-focused solutions. It operates through the following segments: Business Environment (BE) Cluster, Information Technology (IT) Cluster, Operational Technology (OT) Cluster, and Channel Partner (CP) Cluster. The BE Cluster segment offers digital transformation starting with assessments of customers' information and communications technology (ICT) landscapes. The IT Cluster segment focuses on enabling diogital transformation of enterprise resource planning, accounting, human resources, and payroll disciplines. The OT Cluster segment provides 4IR technologies and services to help industrial customers with their full end-to-end digital transformation. The CP Cluster segment supports a channel of value-added resellers in distributing 4Sight's integrated solutions. The company was founded by Gary Lauryssen and Antonie van Rensburg on June 28, 2017 and is headquartered in Floreal, Mauritius. ",24,19 - 42,https://www.wsj.com/market-data/quotes/ZA/XJSE/4SI/company-people
9Splay Entertainment Technology Co. Ltd.,Taipei Exchange,," 9splay Entertainment Technology Co., Ltd. engages in the development and operation of mobile games. It develops mobile game and video games. The company's products include adventure island 1.0, Kunlun Ruins, Sword & Lovers and other video games. 9splay Entertainment Technology was founded on September 11, 2013 and is headquartered in Taipei, Taiwan. ",20.00,15.30 - 37.65,https://www.wsj.com/market-data/quotes/TW/ROCO/8491/company-people
9 Meters Biopharma Inc.,US, Nasdaq," 9 Meters Biopharma, Inc. is a clinical-stage biopharmaceutical company, which focuses on rare and unmet needs in gastroenterology. Its pipeline includes drug candidates for short bowel syndrome (SBS), celiac disease, and three early-stage candidates for undisclosed rare diseases and/or unmet needs. The company is founded by Jay P. Madan and Kendyle Woodard in 2012 and is headquartered in Raleigh, NC. ",0.5801,0.54 - 1.88,https://www.wsj.com/market-data/quotes/NMTR/company-people
908 Devices Inc.,US, Nasdaq," 908 Devices, Inc. engages in the development of measurement devices for chemical and biochemical analysis. It offers products using mass spectrometry technology, an analytical technique for measuring the mass of charged molecules that is used in chemical analysis laboratories for applications, such as safety and security, food science, biotechnology, clinical diagnostics, and controlling industrial processes. Its products include desktops and handhelds. The company was founded by Kevin J. Knopp, Miller Scott, Steve Araiza, Andrew Bartfay, Michael Jobin, Christopher D. Brown, and Christopher J. Petty in 2012 and is headquartered in Boston, MA. ",18.64,12.60 - 58.20,https://www.wsj.com/market-data/quotes/MASS/company-people
9 Spokes International Ltd.,Australia, Sydney," 9 Spokes International Ltd. engages in the provision of an online, software-as-a-service platform application and store. The firm manages a portal, which businesses can use to aggregate all their different cloud computing applications in one place. It operates through the following geographical segments: Europe, North America, and Asia Pacific. The company was founded by Mark Anthony Estall and Adrian David Grant on September 19, 2011 and is headquartered in Auckland, New Zealand. ",0.006,0.006 - 0.024,https://www.wsj.com/market-data/quotes/AU/XASX/9SP/company-people
8i Acquisition 2 Corp.,US, Nasdaq," 8i Acquisition 2 Corp. is a blank check company. Its purpose is to enter into a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization or similar business combination with one or more businesses or entities. The company was founded on January 21, 2021 and is headquartered in Singapore. ",10.34,9.96 - 10.75,https://www.wsj.com/market-data/quotes/LAXXU/company-people
8i Acquisition 2 Corp. Rt,US, Nasdaq," 8i Acquisition 2 Corp. is a blank check company. Its purpose is to enter into a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization or similar business combination with one or more businesses or entities. The company was founded on January 21, 2021 and is headquartered in Singapore. ",0.245,0.12 - 0.3501,https://www.wsj.com/market-data/quotes/LAXXR/company-people
89bio Inc.,US, Nasdaq," 89bio, Inc. operates as a clinical-stage biopharmaceutical company. It focuses on the development and commercialization of innovative therapies for nonalcoholic steatohepatitis (NASH), liver and cardio-metabolic diseases. The firm product candidates and pipeline include BIO89-100, FGF21, NASH, and SHTG. The company was founded on January 01, 2018 and is headquartered in San Francisco, CA. ",3.80,3.49 - 28.28,https://www.wsj.com/market-data/quotes/ETNB/company-people
8i Acquisition 2 Corp.,US, Nasdaq," 8i Acquisition 2 Corp. is a blank check company. Its purpose is to enter into a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization or similar business combination with one or more businesses or entities. The company was founded on January 21, 2021 and is headquartered in Singapore. ",9.81,9.65 - 9.82,https://www.wsj.com/market-data/quotes/LAX/company-people
8i Acquisition 2 Corp. Wt,US, Nasdaq," 8i Acquisition 2 Corp. is a blank check company. Its purpose is to enter into a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization or similar business combination with one or more businesses or entities. The company was founded on January 21, 2021 and is headquartered in Singapore. ",0.28,0.10 - 0.80,https://www.wsj.com/market-data/quotes/LAXXW/company-people
8X8 Inc.,US, NYSE," 8x8, Inc. engages in the provision of enterprise communication solutions. It offers solutions to business services, education, financial services, government, healthcare, and manufacturing industries. The company was founded in February 1987 and is headquartered in San Jose, CA. ",11.005,10.89 - 35.75,https://www.wsj.com/market-data/quotes/EGHT/company-people
8Common Ltd.,Australia, Sydney," 8common Ltd. engages in the development and distribution of software solutions. It operates its business through three segments: Performance and Productivity; Realtors8; and Head Office. The Performance and Productivity segment comprises of Expense8 and Perform8. The Realtors8 segment involves a content management system and customer relationship management solution. The Head Office segment covers head office activities. The company was founded by Kah Wui Lim on February 25, 2014 and is headquartered in Sydney, Australia. ",0.145,0.11 - 0.24,https://www.wsj.com/market-data/quotes/AU/XASX/8CO/company-people
8990 Holdings Inc. Pfd.,Philippines, Manila," 8990 Holdings, Inc. engages in the business of mass housing development. It operates through the following business segments: Low-Cost Mass Housing, Medium-Rise Condominium, High-Rise Condominium, and Others. The Low-Cost Mass Housing segment caters to the development and sale of residential lots and units. The Medium-Rise Condominium segment caters to the development and sale of condominium units of up to four storeys, and sale of parking spaces in the condominium. The High-Rise Condominium segment caters to the development and sale of condominium units with more than four storeys, and sale of parking spaces in the condominium. The Others segment include Sale of Developed Subdivision Lots, Hotel Operations, and Lease of Properties. 8990 Holdings was founded by Las N. Yu on July 8, 2005 and is headquartered in Makati, Philippines. ",99.00,98.10 - 102.00,https://www.wsj.com/market-data/quotes/PH/XPHS/8990P/company-people
8990 Holdings Inc.,Philippines, Manila," 8990 Holdings, Inc. engages in the business of mass housing development. It operates through the following business segments: Low-Cost Mass Housing, Medium-Rise Condominium, High-Rise Condominium, and Others. The Low-Cost Mass Housing segment caters to the development and sale of residential lots and units. The Medium-Rise Condominium segment caters to the development and sale of condominium units of up to four storeys, and sale of parking spaces in the condominium. The High-Rise Condominium segment caters to the development and sale of condominium units with more than four storeys, and sale of parking spaces in the condominium. The Others segment include Sale of Developed Subdivision Lots, Hotel Operations, and Lease of Properties. 8990 Holdings was founded by Las N. Yu on July 8, 2005 and is headquartered in Makati, Philippines. ",13.30,7.00 - 14.00,https://www.wsj.com/market-data/quotes/PH/XPHS/HOUSE/company-people
888 Holdings PLC,US, OTC," 888 Holdings Plc engages in the provision of online gaming entertainment and solutions. It operates through Business to Customer and Business to Business segments. The Business to Customer segment offers casino and games, poker, and bingo. The Business to Business segment gives total gaming services under the Dragonfish trading brand. The company was founded by Avi Shaked, Aharon Shaked, Ron Ben-Yitzhak and Shay Ben-Yitzhak in May 1997 and is headquartered in Gibraltar. ",2.54,2.50 - 6.75,https://www.wsj.com/market-data/quotes/EIHDF/company-people
888 Holdings PLC,Germany, Frankfurt ," 888 Holdings Plc engages in the provision of online gaming entertainment and solutions. It operates through Business to Customer and Business to Business segments. The Business to Customer segment offers casino and games, poker, and bingo. The Business to Business segment gives total gaming services under the Dragonfish trading brand. The company was founded by Avi Shaked, Aharon Shaked, Ron Ben-Yitzhak and Shay Ben-Yitzhak in May 1997 and is headquartered in Gibraltar. ",2.20,2.20 - 5.60,https://www.wsj.com/market-data/quotes/DE/XFRA/C8V/company-people
888 Holdings PLC,UK, London," 888 Holdings Plc engages in the provision of online gaming entertainment and solutions. It operates through Business to Customer and Business to Business segments. The Business to Customer segment offers casino and games, poker, and bingo. The Business to Business segment gives total gaming services under the Dragonfish trading brand. The company was founded by Avi Shaked, Aharon Shaked, Ron Ben-Yitzhak and Shay Ben-Yitzhak in May 1997 and is headquartered in Gibraltar. ",187.20,179.80 - 494.00,https://www.wsj.com/market-data/quotes/UK/XLON/888/company-people
88 Energy Ltd.,Australia, Sydney," 88 Energy Ltd. is an oil and gas exploration company, which is engaged in the exploration and development of mineral properties. It holds interest in Icewine project located in Alaska. The company was founded on February 21,1996 and is headquartered in Perth, Australia. ",0.041,0.008 - 0.096,https://www.wsj.com/market-data/quotes/AU/XASX/88E/company-people
88 Energy Ltd.,US, OTC," 88 Energy Ltd. is an oil and gas exploration company, which is engaged in the exploration and development of mineral properties. It holds interest in Icewine project located in Alaska. The company was founded on February 21,1996 and is headquartered in Perth, Australia. ",0.0297,0.007 - 0.0919,https://www.wsj.com/market-data/quotes/EEENF/company-people
88 Energy Ltd.,UK, London," 88 Energy Ltd. is an oil and gas exploration company, which is engaged in the exploration and development of mineral properties. It holds interest in Icewine project located in Alaska. The company was founded on February 21,1996 and is headquartered in Perth, Australia. ",2.25,0.45 - 4.70,https://www.wsj.com/market-data/quotes/UK/XLON/88E/company-people
808 Renewable Energy Corp.,US, OTC," 808 Renewable Energy Corp. owns and operates on-site cogeneration systems that produce energy in the form of electricity, heat, hot water and chilled water. The company was founded by Patrick S. Carter in 2008 and is headquartered in Phoenix, AZ. ",0.109,0.075 - 0.95,https://www.wsj.com/market-data/quotes/RNWR/company-people
7Road Holdings Ltd.,Hong Kong,," 7Road Holdings Ltd. is an investment holding company. It engages in the development and distribution of web games and mobile games. The company is an online game developer and operator. It develops an online games such as Island Story, Mythic Glory, Crouching Tiger, Dami-Gods and Semi Devils, DDTank, and Wartune. The company was founded on September 6, 2017 and is headquartered in Shenzhen, China. ",2.60,2.27 - 2.90,https://www.wsj.com/market-data/quotes/HK/XHKG/797/company-people
7NR Retail Ltd.,India, Bombay,,20.25,5.31 - 27.95,https://www.wsj.com/market-data/quotes/IN/XBOM/540615/company-people
7Seas Entertainment Ltd.,India, Bombay," 7Seas Entertainment Ltd. engages in the development of gaming software. It offers online, mobile, and PC games, and Facebook apps. The firm also operates online gaming portals, which include onlinerealgames.com, 7seasmedia.com, neodelight.com, and mobizill.com. The company was founded on August 14, 1991 and is headquartered in Hyderabad, India. ",18.65,8.31 - 31.15,https://www.wsj.com/market-data/quotes/IN/XBOM/540874/company-people
7GC & Co. Holdings Inc. Wt,US, Nasdaq," 7GC & Co. Holdings, Inc. operates as a blank check company. It is formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses for its initial business. The company was founded by Steffen Pauls and Jack Leeney on September 18, 2020 and is headquartered in San Francisco, CA. ",0.20,0.20 - 1.25,https://www.wsj.com/market-data/quotes/VIIAW/company-people
7Levels S.A.,Poland, Warsaw," 7LEVELS SA engages in the development, testing, and distribution of video games. It offers games for Nintendo consoles as well as from mobile operating systems. Its projects include Castle of Heart for Nintendo Switch. The company was founded by Pawel Biela and Krzysztof Krol on October 31, 2014 and is headquartered in Krakow, Poland. ",20.80,16.70 - 33.00,https://www.wsj.com/market-data/quotes/PL/XWAR/7LV/company-people
7GC & Co. Holdings Inc. Cl A,US, Nasdaq," 7GC & Co. Holdings, Inc. operates as a blank check company. It is formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses for its initial business. The company was founded by Steffen Pauls and Jack Leeney on September 18, 2020 and is headquartered in San Francisco, CA. ",9.79,9.61 - 10.10,https://www.wsj.com/market-data/quotes/VII/company-people
7GC & Co. Holdings Inc.,US, Nasdaq," 7GC & Co. Holdings, Inc. operates as a blank check company. It is formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses for its initial business. The company was founded by Steffen Pauls and Jack Leeney on September 18, 2020 and is headquartered in San Francisco, CA. ",9.92,9.79 - 10.58,https://www.wsj.com/market-data/quotes/VIIAU/company-people
7FIT S.A.,Poland, Warsaw," 7FIT SA is engages in the sale and distribution of nutritional and dietary supplements. Its products include boosters, stimulants, protein supplements, gainers, dietary carbohydrates, and fat burners. It offers such brands as 7Nutrition, Formotiva, RealPharm, Lab One, and Activlab. The company was founded on April 1, 2006 by Michal Wasilewski and is headquartered in Wroclaw, Poland. ",3.46,3.16 - 5.50,https://www.wsj.com/market-data/quotes/PL/XWAR/7FT/company-people
7-Eleven Malaysia Holdings Bhd,Malaysia,," 7-Eleven Malaysia Holdings Bhd. engages in franchising of convenience stores and real property investments. It operates through the following segments: Convenience Stores, Pharmaceutical, and Others. The Convenience Stores segment offers grocery and food items including hot food and beverages and manages the distribution of reloads of mobile phone, Touch 'n Go, online game, and bill payment services. The Pharmaceutical segment deals with operating a chain of pharmacies under the Caring brand name, which retails pharmaceutical, healthcare, and personal care products. The Others segment consist of investment holding and real property investments. The company was founded on June 4, 1984 and is headquartered in Kuala Lumpur, Malaysia. ",1.46,1.21 - 1.65,https://www.wsj.com/market-data/quotes/MY/XKLS/5250/company-people
7C Solarparken AG,UK, London," 7C Solarparken AG engages in the provision of construction and installation of solar power plants. It also offers side services including external contract for technical and commercial services. The company was founded on January 22, 1999 and is headquartered in Bayreuth, Germany. ",2.56,3.66 - 4.51,https://www.wsj.com/market-data/quotes/UK/XLON/0QV6/company-people
786 Investment Ltd.,Pakistan Stock Exchange,,,6.51,6.01 - 12.90,https://www.wsj.com/market-data/quotes/PK/XKAR/786/company-people
79 Resources Ltd.,Canadian Securities Exchange,," 79 Resources Ltd. engages in the mineral exploration and the acquisition of mineral property assets in Canada. Its objective is to locate and develop economic precious and base metal properties of merit and to conduct its exploration program on the Louise Lake Property. The company was founded on April 17, 2019 and is headquartered in Vancouver, Canada. ",0.06,0.06 - 0.15,https://www.wsj.com/market-data/quotes/CA/XCNQ/SNR/company-people
7C Solarparken AG,Germany, Xetra ," 7C Solarparken AG engages in the provision of construction and installation of solar power plants. It also offers side services including external contract for technical and commercial services. The company was founded on January 22, 1999 and is headquartered in Bayreuth, Germany. ",4.33,3.65 - 4.54,https://www.wsj.com/market-data/quotes/XE/XETR/HRPK/company-people
79North Inc.,Canadian Securities Exchange,," 79North, Inc. engages in acquisition, exploration and development of gold and other metals properties. It holds interest in Nassau and Sandpiper gold projects. The company was founded on August 15, 2016 and is headquartered in Toronto, Canada. ",0.10,0.08 - 0.16,https://www.wsj.com/market-data/quotes/CA/XCNQ/JQ/company-people
7Digital Group PLC,UK, London," 7digital Group Plc engages in the provision of scalable technical infrastructure and extensive global music rights used to create music streaming and radio services. The firm provides its services to mobile carriers, broadcasters, automotive systems, record labels and retailers. It operates through the following segments: Licensing, Content and Creative. The Licensing segment refers to the creation of software solutions for managing and delivering digital content. The Content segment engages in the sale of digital music direct to consumers. The Creative segment engages in the production of audio and video programming for broadcasters. The company was founded by Simon Cole on June 10, 2014 and is headquartered in London, the United Kingdom. ",0.33,0.26 - 1.93,https://www.wsj.com/market-data/quotes/UK/XLON/7DIG/company-people
7 Acquisition Corp. Wt,US, Nasdaq," 7 Acquisition Corp. operates as a blank check company. The company is headquartered in Stamford, CT. ",0.35,0.35 - 0.62,https://www.wsj.com/market-data/quotes/SVNAW/company-people
727 Communications Inc.,US, OTC,,0.0001,0.0001 - 0.99,https://www.wsj.com/market-data/quotes/SVNJ/company-people
77 Bank Ltd.,Japan, Tokyo," The 77 Bank, Ltd. engages in the provision of banking and financial services. It operates through the following business divisions: Banking, Leasing, and Other. The Banking segment provides customers with banking services including deposit, lending, and exchange. The Leasing segment offers customers with leasing services. The Other segment consists of credit guarantee and credit card businesses. The company was founded on December 9, 1878 and is headquartered in Sendai, Japan. ","1,520","1,125 - 1,736",https://www.wsj.com/market-data/quotes/JP/XTKS/8341/company-people
7 Acquisition Corp.,US, Nasdaq," 7 Acquisition Corp. operates as a blank check company. The company is headquartered in Stamford, CT. ",10.09,10.00 - 10.15,https://www.wsj.com/market-data/quotes/SVNAU/company-people
6V de Valores Mobiliarios S.A.,Spain, Madrid ,,14.582,14.582 - 15.30,https://www.wsj.com/market-data/quotes/ES/MABX/S0010/company-people
63 Moons Technologies Ltd.,India, Bombay," 63 Moons Technologies Ltd. is a holding company, which engages in the provision of computer programming, consultancy, and related services. It operates through the STP Technologies/Solutions and Others segments. The STP Technologies/Solution segment consists of straight through processing solutions and includes an integrated mix of various products, projects and services incidental. The Other segment comprises of trading, procurement, process management, risk consultancy activities, shared business support services, IT infrastructure sharing, NBFC related activities, Internet telecommunication services and training, certification and franchise. The company was founded by Jignesh Prakash Shah and Dewang Neralla on April 12, 1988 and is headquartered in Mumbai, India. ",221.35,68.05 - 373.70,https://www.wsj.com/market-data/quotes/IN/XBOM/526881/company-people
4SC AG,Germany, Xetra ," 4SC AG is a clinical-stage biopharmaceutical company, which engages in the development of small molecule drugs that target key indications in cancer. Its product pipeline includes resminostat and domatinostat. The company was founded by Stefan Busemann, Ulrich Dauer, Klaus-Peter Gulden, and Daniel Vitt in 1997 and is headquartered in Planegg-Martinsried, Germany. ",2.13,2.01 - 10.10,https://www.wsj.com/market-data/quotes/XE/XETR/VSC/company-people
7 Acquisition Corp. Cl A,US, Nasdaq," 7 Acquisition Corp. operates as a blank check company. The company is headquartered in Stamford, CT. ",9.90,9.80 - 9.97,https://www.wsj.com/market-data/quotes/SVNA/company-people
600 Group PLC,UK, London," 600 Group Plc engages in the designing and manufacturing of machine tools and precision engineered components. It operates through the Machine Tools and Precision Engineered Components, and Industrial Laser Systems segments. The Machine Tools and Precision Engineered Components segment offers metal turning and other machine tools and precision component parts. The Industrial Laser Systems segment involves in the provision of solutions which include marking, engraving, and micro-material processing. The company was founded in 1932 and is headquartered in Elland, the United Kingdom. ",13.75,8.50 - 17.00,https://www.wsj.com/market-data/quotes/UK/XLON/SIXH/company-people
4Mass S.A.,Poland, Warsaw, Manufactures and distributes cosmetics ,0.19,0.15 - 0.69,https://www.wsj.com/market-data/quotes/PL/XWAR/4MS/company-people
4imprint Group PLC,UK, London," 4imprint Group Plc engages in the provision of promotional products. It offers custom printed merchandise for advertising purposes. The company was founded on November 23, 1921 and is headquartered in London, the United Kingdom. ","2,705.00","2,152.65 - 3,265.00",https://www.wsj.com/market-data/quotes/UK/XLON/FOUR/company-people
4iG Nyrt.,Hungary, Budapest," 4iG Nyrt engages in the development and adaptation of custom software applications. It operate through the following segments: IT Service, Commerce, and Other Activity. It offers digitalization-vertical solutions, managed services, custom solutions, and IT infrastructure. The company was founded by Vilmos Vaspa in 1990 and is headquartered in Budapest, Hungary. ",770,"588 - 1,134",https://www.wsj.com/market-data/quotes/HU/XBUD/4IG/company-people
4Global PLC,UK, London,,87.50,81.00 - 97.00,https://www.wsj.com/market-data/quotes/UK/XLON/4GBL/company-people
