Name,Country,Exchange,Description,Last Price,52 week range,Url
4fun Media S.A.,Poland, Warsaw," 4fun Media SA engages in the provision and management of media content. It operates through the following segments: TV&Digital Content, Digital Out-of-Home, B2B Marketing Services, and E-Commerce. The TV&Digital Content segment operates music television channels. The Digital Out-of-Home segment offers online advertising using digital signage technology. The B2B Marketing Services segment provides marketing and media consulting services. The E-Commerce segment manages online selling platforms with personalized products. The company was founded on September 2, 2003 and is headquartered in Warsaw, Poland. ",8.94,4.89 - 9.50,https://www.wsj.com/market-data/quotes/PL/XWAR/4FM/company-people
4Mobility S.A.,Poland, Warsaw," 4Mobility SA engages in the provision of car sharing services. It operates an online platform and application for short-term automobile lease and smart rental. The company was founded on February 19, 2009 and is headquartered in Warsaw, Poland. ",2.90,2.70 - 7.40,https://www.wsj.com/market-data/quotes/PL/XWAR/4MB/company-people
4Front Ventures Corp.,Canadian Securities Exchange,," 4Front Ventures Corp. operates as a retail and brand development company in the cannabis sector. It operates through the following segments: THC Cannabis and CBD Wellness. The THC Cannabis segment engages in the production and cultivation of THC cannabis, manufacturing and distribution of cannabis products to own dispensaries and third party retail customers, ancillary services supporting wholesale operations, and retail sales direct to end consumers. The CBD Wellness segment engages in pure ratios which encompasses the production and sale of CBD products to third-party customers. The company was founded in 2011 and is headquartered in Phoenix, AZ. ",1.05,0.72 - 1.93,https://www.wsj.com/market-data/quotes/CA/XCNQ/FFNT/company-people
4Front Ventures Corp.,US, OTC," 4Front Ventures Corp. operates as a retail and brand development company in the cannabis sector. It operates through the following segments: THC Cannabis and CBD Wellness. The THC Cannabis segment engages in the production and cultivation of THC cannabis, manufacturing and distribution of cannabis products to own dispensaries and third party retail customers, ancillary services supporting wholesale operations, and retail sales direct to end consumers. The CBD Wellness segment engages in pure ratios which encompasses the production and sale of CBD products to third-party customers. The company was founded in 2011 and is headquartered in Phoenix, AZ. ",0.8194,0.5623 - 1.55,https://www.wsj.com/market-data/quotes/FFNTF/company-people
4DMedical Ltd.,Australia, Sydney," 4DMedical Ltd. is a software technology company, which commercializes four-dimensional lung imaging platform called XV Technology. It develops pipeline products that may assist physicians to more effectively diagnose and manage patients with lung disease, which includes XV ventilation analysis, ventilation perfusion, contrast free pulmonary angiography, small animal ventilator, and preclinical scanner. The company was founded by Andreas Fouras in December 2012 and is headquartered in Melbourne, Australia. ",0.61,0.55 - 2.07,https://www.wsj.com/market-data/quotes/AU/XASX/4DX/company-people
4Front Ventures Corp. Wt,Canadian Securities Exchange,," 4Front Ventures Corp. operates as a retail and brand development company in the cannabis sector. It operates through the following segments: THC Cannabis and CBD Wellness. The THC Cannabis segment engages in the production and cultivation of THC cannabis, manufacturing and distribution of cannabis products to own dispensaries and third party retail customers, ancillary services supporting wholesale operations, and retail sales direct to end consumers. The CBD Wellness segment engages in pure ratios which encompasses the production and sale of CBD products to third-party customers. The company was founded in 2011 and is headquartered in Phoenix, AZ. ",0.22,0.10 - 1.08,https://www.wsj.com/market-data/quotes/CA/XCNQ/FFNT.WT/company-people
4DS Memory Ltd.,Australia, Sydney," 4DS Memory Ltd. operates as a semiconductor development company. It develops non-volatile memory technology, pioneering Interface switching ReRAM, for next generation gigabyte storage class memory in mobile and cloud. The company was founded on 2 March 2007 and was headquartered in West Perth, Australia. ",0.064,0.045 - 0.245,https://www.wsj.com/market-data/quotes/AU/XASX/4DS/company-people
4D pharma PLC Wt,US, Nasdaq," 4D Pharma Plc is a pharmaceutical company, which engages in the development of live bio therapeutics. It focuses on the research of Microbiome, MicroRx, and MicroDx its proprietary platforms for the discovery of novel live bio therapeutics and the development of its pipeline. The company was founded on January 10, 2014 and is headquartered in Leeds, the United Kingdom. ",0.34,0.13 - 1.76,https://www.wsj.com/market-data/quotes/LBPSW/company-people
4D pharma PLC,UK, London," 4D Pharma Plc is a pharmaceutical company, which engages in the development of live bio therapeutics. It focuses on the research of Microbiome, MicroRx, and MicroDx its proprietary platforms for the discovery of novel live bio therapeutics and the development of its pipeline. The company was founded on January 10, 2014 and is headquartered in Leeds, the United Kingdom. ",28.15,24.47 - 152.59,https://www.wsj.com/market-data/quotes/UK/XLON/DDDD/company-people
4D Molecular Therapeutics Inc.,US, Nasdaq," 4D Molecular Therapeutics, Inc. engages in the design, development, and commercialization of transformative gene therapeutic products for serious unmet medical conditions. It offers products for optalmology, cardiology, and pulmonology. The company was founded by David H. Kirn, Melissa Kotterman, Theresa Janke, and David Schaffer on September 12, 2013 and is headquartered in Emeryville, CA. ",15.10,12.835 - 53.05,https://www.wsj.com/market-data/quotes/FDMT/company-people
4Cs HD Co. Ltd.,Japan, Tokyo," 4Cs Holdings Co., Ltd. engages in the mail order business for cosmetics and health food products. It operates through the following business segments: Communication and Sales and Cosmetics Wholesale. The Communication and Sales segment sells cosmetics and health food. The Cosmetics Wholesale segment sells wholesale cosmetics and bath products. The company was founded on December 5, 2003 and is headquartered in Fukuoka, Japan. ",436,415 - 532,https://www.wsj.com/market-data/quotes/JP/XTKS/3726/company-people
4D pharma PLC ADR,US, Nasdaq," 4D Pharma Plc is a pharmaceutical company, which engages in the development of live bio therapeutics. It focuses on the research of Microbiome, MicroRx, and MicroDx its proprietary platforms for the discovery of novel live bio therapeutics and the development of its pipeline. The company was founded on January 10, 2014 and is headquartered in Leeds, the United Kingdom. ",2.9303,2.74 - 15.50,https://www.wsj.com/market-data/quotes/LBPS/company-people
4basebio PLC,UK, London," 4basebio Plc develops gene therapy technologies and solutions. It focuses on the manufacture of synthetic DNA for use in gene therapies. The company manufactures GMP grade synthetic DNA and non-viral nanoparticles for third party customers, and develops the combination of technologies and gene therapy solutions for clinical development and commercialization. 4basebio UK Societas was founded on December 22, 2020 and is headquartered in Cambridge, the United Kingdom. ",495.00,254.00 - 820.00,https://www.wsj.com/market-data/quotes/UK/XLON/4BB/company-people
468 SPAC II SE,Germany, Xetra ,,9.71,9.69 - 10.10,https://www.wsj.com/market-data/quotes/XE/XETR/SPV2/company-people
4AIM SICAF S.p.A.,Italy, Milan," 4AIM SICAF SpA operates as an undertakings for the collective investment in transferable securities company which specializes in developing collective investment schemes for small and medium-sized enterprises in Italy. It specializes as a fixed capital investment company which focuses on financial instrument assets collected through the offer of treasury shares. The company was founded on March 16, 2016 and is headquartered in Milan, Italy. ",325.00,291.00 - 452.00,https://www.wsj.com/market-data/quotes/IT/XMIL/4AIM/company-people
40 Investment & Construction JSC,Hanoi Stock Exchange,," 40 Investment & Construction JSC engages in the provision of construction services. It offers construction of irrigation, pumping stations, civil, industrial, underwater works, underground works, hydropower works, and water supply. The company was founded on February 19, 2001 and is headquartered in Ho Chi Minh City, Vietnam. ","36,900","29,300 - 53,200",https://www.wsj.com/market-data/quotes/VN/HSTC/L40/company-people
420 Property Management Inc.,US, OTC,,0.00,0.00 - 0.002,https://www.wsj.com/market-data/quotes/FTPM/company-people
49 North Resources Inc.,Canada, TSX Venture," 49 North Resources, Inc. is a resource investment company. Its activities include investments in shares and other securities of junior and intermediate mineral and oil & gas exploration companies. The company was founded by Thomas M. MacNeill on July 20, 2005 and is headquartered in Saskatoon, Canada. ",0.04,0.03 - 0.08,https://www.wsj.com/market-data/quotes/CA/XTSX/FNR/company-people
4Cable TV International Inc.,US, OTC," 4Cable TV International, Inc. is a manufacturer of outdoor transmission equipment for the cable and broadband industry. The company's patent-pending innovations offer broadband, phone and digital and cable TV service providers with cost-effective solutions that maximize bandwidth, extend system penetration, and save energy. It owns and operates manufacturing and research facilities in Conway, SC. The company product portfolio includes the DSR, RF2F cable, RFoG, SOLAR-CATV and the PowerMiser. 4Cable TV International was founded by Steven K. Richey and Andrew F. Staniak on November 8, 2007 and is headquartered in Port St Lucie, FL. ",0.0024,0.001 - 0.0384,https://www.wsj.com/market-data/quotes/CATV/company-people
3U Holding AG,Germany, Xetra ," 3U Holding AG is an operating management and investment holding company. It operates through the following segments: Information and Telecommunications Technology (ITC); Renewable Energies; and Sanitary, Heating, and Air Conditioning Technology (SHAC). The ITC segment provides transmission network and switching technology, as well as services related to its data centers. This segment also includes sales from the distribution and operation of cloud-based CRM and ERP solutions as well as from the IT licensing business. The Renewable Energies segment involves the planning and development of projects in the area of renewable energies as well as with the production of electricity with plants. The SHAC segment engages in marketing of products from the sanitary, heating and climatisation technology, as well as from the assembly of components for building air conditioning. The company was founded by Udo Graul, Manfred Schwarz, Michael Schmidt, and Roland Thieme on August 26, 1997 and is headquartered in Marburg, Germany. ",2.68,2.48 - 4.78,https://www.wsj.com/market-data/quotes/XE/XETR/UUU/company-people
4 Less Group Inc.,US, OTC," The 4 Less Group, Inc. operates a flagship and niche websites through which it and its subsidiaries sell auto parts that are direct listed across marketplace and social media sites, including marketing products through online marketplaces and social media platforms. The company was founded on December 30, 2004 and is headquartered in Las Vegas, NV. ",0.90,0.51 - 3.06,https://www.wsj.com/market-data/quotes/FLES/company-people
3P Learning Ltd.,Australia, Sydney," 3P Learning Ltd. engages in the development, sale and marketing of online educational programs. It provides learning resources to schools and parents of school-aged students. The company was founded by Shane Hill and Matthew Sandblom on February 21, 2003 and is headquartered in North Sydney, Australia. ",1.575,1.16 - 1.85,https://www.wsj.com/market-data/quotes/AU/XASX/3PL/company-people
3SBio Inc.,Hong Kong,," 3SBio, Inc. operates as in investment holding company which engages in the development, production, marketing, and sale of biopharmaceutical products. It is used in the field of medicine particularly in nephrology, oncology, supportive cancer care, inflammation, and infectious diseases. The company was founded by Jing Lou and Dan Lou in 1993 and is headquartered in Shenyang, China. ",5.76,5.41 - 12.30,https://www.wsj.com/market-data/quotes/HK/XHKG/1530/company-people
3P Land Holdings Ltd.,India, Bombay," 3P Land Holdings Ltd. engages in the business of real estate leasing. The company was founded on December 31, 1965 and is headquartered in Mumbai, India. ",16.10,8.21 - 26.25,https://www.wsj.com/market-data/quotes/IN/XBOM/516092/company-people
3S Korea Co. Ltd.,S Korea, KRX," 3S KOREA Co., Ltd. engages in the manufacture and sale of semiconductor wafer carrier and environment test equipment. It operates through the Environment Test Equipment and Wafer Carrier business divisions. The Environment Test Equipment business provides calorimeter and environment control system. The Wafer Carrier business offers front opening shipping box, front opening unified pod and open cassette. The company was founded on January 28, 1991 and is headquartered in Seoul, South Korea. ","3,190","2,325 - 4,755",https://www.wsj.com/market-data/quotes/KR/XKRX/060310/company-people
3onedata Co. Ltd. A,China, Shanghai,,45.61,35.62 - 55.21,https://www.wsj.com/market-data/quotes/CN/XSHG/688618/company-people
3S Silicon Tech. Inc.,Taipei Exchange,," 3S Silicon Tech., Inc. principally engages in the research, development, and manufacturing of high-power semiconductor die-bonding equipment for packaging. Its key products include die bonders for power electronics chip packaging. The company was founded on February 4, 1998 and is headquartered in Hsinchu, Taiwan. ",14.50,9.74 - 20.10,https://www.wsj.com/market-data/quotes/TW/ROCO/5297/company-people
3M India Ltd.,India, Bombay," 3M India Ltd. engages in the business of industrial, automotive, electrical, health care, technological, and safety products. It operates through the following segments; Safety and Industrial; Transportation and Electronics; Health Care; and Consumer. The Safety and Industrial segment includes businesses that serve the global industrial, electrical and safety markets. The Health Care segment offers surgical supplies, medical devices, dental and orthodontic products, and drug delivery systems. The Consumer segment markets and sells office supplies such as packaging protection platforms, note pads, tape dispensers, flagging solutions, labels, and tapes under the Scotch brand. The Transportation and Electronics segment includes businesses that serve global transportation and electronic original equipment manufacturer (OEM) customers. The company was founded on July 4, 1987 and is headquartered in Bangalore, India. ","20,031","19,668 - 30,975",https://www.wsj.com/market-data/quotes/IN/XBOM/523395/company-people
3M Co.,Germany, Xetra ," 3M Co. is a technology company, which manufactures industrial, safety, and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment consists of electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment includes medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Consumer segment covers consumer healthcare, home care, home improvement, and stationery and office products, such as consumer bandages, braces, supports, respirators, cleaning products, retail abrasives, car care DIY products, picture hanging, and consumer air quality solutions. The company was founded by Henry S. Bryan, Hermon W. Cable, John Dwan, William A. McGonagle and J. Danley Budd in 1902 and is headquartered in St. Paul, MN. ",131.10,125.30 - 173.35,https://www.wsj.com/market-data/quotes/XE/XETR/MMM/company-people
3Peak Inc. A,China, Shanghai," 3peak, Inc. is a holding company that engages in the development and sale of analog IC products. It operates under the signal chain analog chip and power management simulation chip segments. The company was founded by Zhi Xu Zhou and Feng Ying on April 23, 2012 and is headquartered in Shanghai, China. ",658.36,326.00 - 926.99,https://www.wsj.com/market-data/quotes/CN/XSHG/688536/company-people
3M Co.,US, NYSE," 3M Co. is a technology company, which manufactures industrial, safety, and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment consists of electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment includes medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Consumer segment covers consumer healthcare, home care, home improvement, and stationery and office products, such as consumer bandages, braces, supports, respirators, cleaning products, retail abrasives, car care DIY products, picture hanging, and consumer air quality solutions. The company was founded by Henry S. Bryan, Hermon W. Cable, John Dwan, William A. McGonagle and J. Danley Budd in 1902 and is headquartered in St. Paul, MN. ",144.32,139.74 - 208.95,https://www.wsj.com/market-data/quotes/MMM/company-people
3M Co.,UK, London,,133.93,112.42 - 158.10,https://www.wsj.com/market-data/quotes/UK/XLON/0QNY/company-people
3i Group PLC,Mexico,," 3i Group Plc operates as a private equity and venture capital company. It operates through the following segments: Private Equity, Infrastructure, and Scandlines. The Private Equity segment involves in the investment and asset management to generate capital returns. The Infrastructure segment includes investing in economic infrastructure and greenfield projects in developed economies. The Scandlines segment involves in delivering long term capital returns. The company was founded in 1945 and is headquartered in London, the United Kingdom. ",328.83,324.28 - 402.55,https://www.wsj.com/market-data/quotes/MX/XMEX/IIIN/company-people
3I Infotech Ltd.,India, Bombay," 3i Infotech Ltd. is a holding company, which engages in the provision of information technology solutions. It operates through the Information Technology Solutions and Transaction Services segments. The Information Technology Solutions segment offers software products and information technology enabled services. The Transaction Services segment comprises of the knowledge processing outsourcing and business processing outsourcing services. The company was founded on October 11, 1993 and is headquartered in Navi Mumbai, India. ",63.60,29.96 - 119.40,https://www.wsj.com/market-data/quotes/IN/XBOM/532628/company-people
3M Co.,Switzerland, SWX ," 3M Co. is a technology company, which manufactures industrial, safety, and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment consists of electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment includes medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Consumer segment covers consumer healthcare, home care, home improvement, and stationery and office products, such as consumer bandages, braces, supports, respirators, cleaning products, retail abrasives, car care DIY products, picture hanging, and consumer air quality solutions. The company was founded by Henry S. Bryan, Hermon W. Cable, John Dwan, William A. McGonagle and J. Danley Budd in 1902 and is headquartered in St. Paul, MN. ",134.00,130.00 - 190.00,https://www.wsj.com/market-data/quotes/CH/XSWX/MMM/company-people
3M Co.,Chile, Santiago," 3M Co. is a technology company, which manufactures industrial, safety, and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment consists of electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment includes medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Consumer segment covers consumer healthcare, home care, home improvement, and stationery and office products, such as consumer bandages, braces, supports, respirators, cleaning products, retail abrasives, car care DIY products, picture hanging, and consumer air quality solutions. The company was founded by Henry S. Bryan, Hermon W. Cable, John Dwan, William A. McGonagle and J. Danley Budd in 1902 and is headquartered in St. Paul, MN. ",159.90,147.83 - 201.20,https://www.wsj.com/market-data/quotes/CL/XSGO/MMM/company-people
3i Group PLC,Germany, Frankfurt ," 3i Group Plc operates as a private equity and venture capital company. It operates through the following segments: Private Equity, Infrastructure, and Scandlines. The Private Equity segment involves in the investment and asset management to generate capital returns. The Infrastructure segment includes investing in economic infrastructure and greenfield projects in developed economies. The Scandlines segment involves in delivering long term capital returns. The company was founded in 1945 and is headquartered in London, the United Kingdom. ",14.00,13.20 - 17.80,https://www.wsj.com/market-data/quotes/DE/XFRA/IGQ5/company-people
3i Group PLC ADR,US, OTC," 3i Group Plc operates as a private equity and venture capital company. It operates through the following segments: Private Equity, Infrastructure, and Scandlines. The Private Equity segment involves in the investment and asset management to generate capital returns. The Infrastructure segment includes investing in economic infrastructure and greenfield projects in developed economies. The Scandlines segment involves in delivering long term capital returns. The company was founded in 1945 and is headquartered in London, the United Kingdom. ",8.08,7.477 - 10.189,https://www.wsj.com/market-data/quotes/TGOPY/company-people
3i Group PLC,US, OTC," 3i Group Plc operates as a private equity and venture capital company. It operates through the following segments: Private Equity, Infrastructure, and Scandlines. The Private Equity segment involves in the investment and asset management to generate capital returns. The Infrastructure segment includes investing in economic infrastructure and greenfield projects in developed economies. The Scandlines segment involves in delivering long term capital returns. The company was founded in 1945 and is headquartered in London, the United Kingdom. ",16.31,14.39 - 20.23,https://www.wsj.com/market-data/quotes/TGOPF/company-people
3M Co.,Mexico,," 3M Co. is a technology company, which manufactures industrial, safety, and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment consists of electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment includes medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Consumer segment covers consumer healthcare, home care, home improvement, and stationery and office products, such as consumer bandages, braces, supports, respirators, cleaning products, retail abrasives, car care DIY products, picture hanging, and consumer air quality solutions. The company was founded by Henry S. Bryan, Hermon W. Cable, John Dwan, William A. McGonagle and J. Danley Budd in 1902 and is headquartered in St. Paul, MN. ","3,053.00","2,887.16 - 4,127.00",https://www.wsj.com/market-data/quotes/MX/XMEX/MMM/company-people
3i Group PLC,UK, London," 3i Group Plc operates as a private equity and venture capital company. It operates through the following segments: Private Equity, Infrastructure, and Scandlines. The Private Equity segment involves in the investment and asset management to generate capital returns. The Infrastructure segment includes investing in economic infrastructure and greenfield projects in developed economies. The Scandlines segment involves in delivering long term capital returns. The company was founded in 1945 and is headquartered in London, the United Kingdom. ","1,217.50","1,071.00 - 1,507.50",https://www.wsj.com/market-data/quotes/UK/XLON/III/company-people
3DX Industries Inc.,US, OTC," 3DX Industries, Inc. is a precision manufacturing company, which produces products using additive and subtractive manufacturing processes. It manufactures consumer and corporate products using an additive manufacturing method through 3D Metal printing technology and conventional precision manufacturing processes. The company was founded on October 23, 2008 and is headquartered in Ferndale, WA. ",0.09,0.051 - 0.332,https://www.wsj.com/market-data/quotes/DDDX/company-people
3DM Digital Manufacturing Ltd.,Israel, TelAviv," 3DM Digital Manufacturing Ltd. engages in research and development of laser-based printhead, designed for three-dimensional printing of products for the industrial market made of thermoplastic materials. The company was founded by Daniel Majer on August 24, 2016 and is headquartered in Rosh Ha'ayin, Israel. ",11.75,9.75 - 36.82,https://www.wsj.com/market-data/quotes/IL/XTAE/DM3/company-people
3D Resources Ltd.,Australia, Sydney,,0.003,0.002 - 0.006,https://www.wsj.com/market-data/quotes/AU/XASX/DDD/company-people
3D Systems Corp.,UK, London," 3D Systems Corp. is a holding company, which engages in the provision of comprehensive three-dimensional printing solutions. It offers a comprehensive range of 3D printers, materials, software, haptic design tools, 3D scanners, and virtual surgical simulators. The company was founded by Charles W. Hull in 1986 and is headquartered in Rock Hill, SC. ",15.22,14.45 - 41.32,https://www.wsj.com/market-data/quotes/UK/XLON/0QYH/company-people
3D Systems Corp.,US, NYSE," 3D Systems Corp. is a holding company, which engages in the provision of comprehensive three-dimensional printing solutions. It offers a comprehensive range of 3D printers, materials, software, haptic design tools, 3D scanners, and virtual surgical simulators. The company was founded by Charles W. Hull in 1986 and is headquartered in Rock Hill, SC. ",14.805,14.28 - 41.48,https://www.wsj.com/market-data/quotes/DDD/company-people
3D Metalforge Ltd.,Australia, Sydney," 3D Metalforge Ltd. operates as a holding company. The company was founded on October 1, 2020 and is headquartered in West Perth, Australia. ",0.054,0.048 - 0.25,https://www.wsj.com/market-data/quotes/AU/XASX/3MF/company-people
3D Oil Ltd.,Australia, Sydney," 3D Oil Ltd. engages in the exploration, development, and production of oil and gas properties. Its projects include VIC/P57 and VIC/P74 offshore Gippsland Basin in Victoria, T/49P offshore Otway Basin in Tasmania and WA-527-P in Western Australia. The company was founded by Noel Newell in July 2003 and is headquartered in Melbourne, Australia. ",0.059,0.045 - 0.072,https://www.wsj.com/market-data/quotes/AU/XASX/TDO/company-people
3-D Matrix Ltd.,JASDAQ,," 3-D Matrix Ltd. engages in the research, development, manufacture, and sale of medical products. It operates through the following business divisions: Medical Products Development & Sale, and Research Reagent Sales. The Medical Products Development & Sale division includes the surgery based on own organization's peptide technology, regenerative medicine, medical equipment, and pharmaceutical research & development. The Research Reagent Sales division includes the sale of research reagent applications. The company was founded by Shuguang Zhang on May 19, 2004 and is headquartered in Tokyo, Japan. ",346,241 - 643,https://www.wsj.com/market-data/quotes/JP/XJAS/7777/company-people
374Water Inc.,US, OTC," 374Water, Inc. is a clean technology company. It offers supercritical water oxidation (SWCO) waste processors. It caters to the municipal and industrial wastewater treatment plants, food waste, chemical plants, and army camps and emergency situations. The company was founded by Yaacov Nagar and Marc Deshusses on April 30, 2021 and is headquartered in Miami, FL. ",3.9875,0.31 - 6.68,https://www.wsj.com/market-data/quotes/SCWO/company-people
3Cnergy Ltd.,Singapore, SGX," 3Cnergy Ltd. is an investment holding company, which engages in the provision of real estate property development consultancy services. The firm offers architectural design, project financial feasibility assessment, engineering expertise, and construction management services. It operates through the Singapore and Malaysia geographical segments. The company was founded in 1980 and is headquartered in Singapore. ",0.015,0.011 - 0.021,https://www.wsj.com/market-data/quotes/SG/XSES/502/company-people
3D Global Biotech Inc.,Taipei Exchange,,,34.95,28.15 - 55.10,https://www.wsj.com/market-data/quotes/TW/ROCO/6808/company-people
37 Capital Inc.,Canadian Securities Exchange,," 37 Capital, Inc. engages in the acquisition, exploration, and development of natural resource properties. The company was founded on August 24, 1984 and is headquartered in Vancouver, Canada. ",0.12,0.12 - 0.78,https://www.wsj.com/market-data/quotes/CA/XCNQ/JJJ.X/company-people
36Kr Holdings Inc. ADR,US, Nasdaq," 36Kr Holdings, Inc. operates as an online media publisher offering new economy focused content. The firm offers business services, including online advertising services, enterprise value-added services and subscription services. The company was founded by Chengcheng Liu on December 3, 2018 is headquartered in Beijing, China. ",0.715,0.6617 - 4.1699,https://www.wsj.com/market-data/quotes/KRKR/company-people
361 Degrees International Ltd.,Hong Kong,," 361 Degrees International Ltd. is an investment holding company, which engages in the manufacturing and trading of sporting goods. It involves in the business of sportswear industry, which designs, manufactures and distributes branded sports footwear apparel and other related accessories for kids, men's and women's. The firm operates its business through two segments: Adults and Kids. The Adults segment engages in the manufacturing and trading of adults sporting goods . The Kids segment engages in the trading of kids sporting goods. It also involved in research and development. The company was founded in 2003 and is headquartered in Xiamen, China. ",3.31,1.96 - 4.88,https://www.wsj.com/market-data/quotes/HK/XHKG/1361/company-people
